"","Z_score","log_fc","conv","d","p_val"
"Zbtb38",3.9720947665346,0.67658297630166,TRUE,-4.09832237591168e-12,7.12433649923128e-05
"Gm10036",3.96087795846792,-0.660624340549171,TRUE,9.5142643763424e-14,7.46746934858766e-05
"Caprin1",3.94187919258246,0.642402540019551,TRUE,2.17885445211174e-06,8.084569653799e-05
"Brd4",3.93659623657818,0.586973252087301,TRUE,2.27491636639598e-14,8.26454860369807e-05
"Slc1a5",3.92917106656383,-0.788423307282176,TRUE,7.0082828429463e-15,8.52391870926894e-05
"Rnf19b",3.91901611837029,0.879470491417181,TRUE,3.28218984109452e-09,8.8911169291217e-05
"Inhba",3.91158530440803,0.88849316827679,TRUE,-1.0243643433494e-10,9.16922579847768e-05
"Cenpc1",3.91157264783717,0.858430174789975,TRUE,4.42736125538801e-14,9.16970642264037e-05
"Sec11c",3.91112251941644,-0.411900247495255,TRUE,-2.59856243984419e-06,9.18681520492015e-05
"Arl4c",3.89076324487662,0.57696878743809,TRUE,-6.28005527095188e-09,9.9929399613119e-05
"Col6a1",3.87554730494136,0.578437841342132,TRUE,-0.00111460648463164,0.000106385308720425
"Atxn2",3.8574985747544,0.982963126294268,TRUE,1.03186556521528e-13,0.000114553347040802
"Ythdc1",3.84783192225681,0.645550851737029,TRUE,-2.14522843933196e-13,0.000119167762230532
"Zc3h7b",3.83562220873139,0.592599054323856,TRUE,2.20465852768248e-07,0.000125246808321489
"Rnaseh2c",3.80895719173233,-0.512602982518561,TRUE,8.13120404341561e-13,0.000139554113960161
"Pds5b",3.80522870141529,0.593459663366733,TRUE,-1.30864485914373e-11,0.000141673225257932
"Ubr5",3.80287484541474,0.46867516283677,TRUE,-0.000124856412942166,0.000143026621168829
"Pik3r1",3.79750048319527,0.760422179563775,TRUE,8.47327590036695e-11,0.000146162491869717
"Mdh2",3.79249896164131,0.435231058427317,TRUE,-0.0183381352989958,0.000149138874335764
"Atp2a2",3.78814043884123,0.74217488331861,TRUE,-1.70338960425211e-06,0.000151779051398071
"Fryl",3.75604641125166,1.01039607768966,TRUE,5.58856765031646e-09,0.000172618695315263
"Syncrip",3.71486037725253,0.435657084952839,TRUE,-0.0331234069602112,0.000203315924959035
"Wdr83os",3.70580483810716,-0.948049047613276,TRUE,-4.84826663862611e-07,0.000210720515470664
"Pbrm1",3.69651039932509,0.453387475738138,TRUE,-9.16782086145887e-05,0.00021858330947877
