"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Zfand3",0.0709360917577812,0.346434642309726,0,0.841673974254622,-7.36558516370673,-7.87706080125751,-7.40390709264929,-7.03538682700288
"Zfand4",0.114617517098909,0.503520768615224,0,1.20180724086336,-7.85584959389887,-8.69604499380066,-8.03383342586128,-7.49423775293729
"Zfand6",0.0617773680017567,0.503422200702208,0,0.783369617314488,-8.02554113086134,-8.39140485507775,-7.57895044891459,-7.24217151354685
"Zfp451",0.154428181298361,0.693952686171626,0,1.39525642820946,-9.09863735729653,-8.72344777151686,-7.70338092908707,-7.77634149765582
"Zfyve1",0.0668089777556841,0.325425420345591,0,0.586970108083299,-7.76401643751376,-7.83426618904587,-8.36989801743449,-8.35098654559706
"Znhit2",0.0852840119949414,0.315679788710497,0,0.744276402115847,-7.70939117207014,-7.90447034486739,-7.55327168272489,-7.16019394275155
"Asns",0.211700608814885,0.973620367187457,1.33226762955019e-15,1.74860464761311,-10.336561023766,-10.0621482930282,-8.46495330133034,-8.58795637615292
"Ndufa13",0.105935458392395,0.533671986048945,1.33226762955019e-15,0.878173432130361,-8.86446848355293,-9.25313161186985,-8.57457975584734,-7.98629505142257
"Papolb",0.169741708992478,0.619221775395022,1.33226762955019e-15,1.40682714213285,-9.33325527839328,-9.11218719808229,-8.70405382913891,-7.92642813626043
"Psd3",0.235126970572991,0.867384025122244,1.33226762955019e-15,1.9318441359867,-10.438895222888,-9.85110428582862,-8.97107614954943,-8.50705108690131
"Gfer",0.110617375490951,0.528026766241806,2.66453525910038e-15,0.902490175163615,-8.92236629682912,-8.82868645532198,-7.91310235024385,-8.0198761216655
"Lrp2bp",0.172116569255467,0.621472407797459,2.66453525910038e-15,1.39540312188545,-9.77933956726737,-9.57217365253827,-9.06370343640125,-8.38393644538192
"Mgat4e",0.200761358272171,0.689574571121259,2.66453525910038e-15,1.63566990275161,-10.3804668831765,-9.87863787811534,-9.49569583364337,-8.74479698042488
"Nat9",0.15763549010256,0.617504622711555,2.66453525910038e-15,1.28097304396159,-9.71718152932795,-9.70891799074873,-9.01170834139998,-8.43620848536636
"Stat4",0.100510314785879,0.458566945632632,2.66453525910038e-15,0.81626000082113,-7.63944587983556,-8.45570588065669,-8.60433743393726,-7.88472824457406
"Glrx2",0.0607728838418249,0.215068173269316,3.99680288865056e-15,0.492018156761962,-7.73058542785157,-7.52427659984469,-7.90614410895852,-8.01629475660665
"Asnsd1",0.0934397360649796,0.330960501027067,5.32907051820075e-15,0.75243273293521,-8.28879098794895,-8.03644730690424,-8.15443216333106,-8.78888003983945
