"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Spanxn4",0.195348497306691,0.464434832023101,3.46324029454337e-07,1.05990667971209,-9.2593098260224,-8.68482484601657,-8.1994031463103,-8.37969721401664
"Lrif1",0.187901557769465,0.501467647062932,3.56173452065178e-07,1.0185601647116,-8.43516914353168,-8.51133079765105,-8.92332281256061,-9.52989096236265
"Wbp11",0.0794312063385994,0.267493114427224,3.66406244012296e-07,0.430171320515661,-7.4625541520376,-7.65115341153953,-8.0813247320552,-7.86580675590568
"Prr22",0.137767137513766,0.342452160938227,3.6970339456488e-07,0.745877257046205,-8.22643778997401,-8.80371191462976,-8.97231504702022,-8.91465533658606
"Egln2",0.113763633124197,0.263906895158763,4.2327515892282e-07,0.613160412282846,-7.04055036036067,-7.22706633238487,-7.65371077264351,-7.18410551219098
"Maats1",0.173886975237086,0.49572954661284,4.54747672851141e-07,0.934967898930484,-8.30065335338882,-8.73823844499933,-9.23562125231931,-9.39016775002238
"Cep112os1",0.12951400364805,0.34756582988297,4.92010107322471e-07,0.694540590550309,-8.98589065561327,-8.53878134202806,-8.26925989708224,-8.96380048763254
"Prkg1",0.0934437381114266,0.21767510144511,5.34220401249286e-07,0.499717098567348,-8.28340230896588,-7.88099439487718,-7.78368521039853,-7.93405168164428
"Amn1",0.182833788134565,0.429062699218735,5.42611233278478e-07,0.977239949739737,-8.01147148442331,-8.29017373758393,-8.67617707175315,-8.98871143416304
"Sord",0.100825074939895,0.22469838973454,7.45035797056204e-07,0.533086821095644,-7.09514526731364,-7.15591783890852,-7.47885437887834,-6.9457675577827
"Atp6v1f",0.124356424274958,0.286510159771754,7.4647294745489e-07,0.657458963389383,-8.15543637615575,-7.89418726829606,-7.65910445806202,-7.49797741276637
"Supt20",0.0978956739320441,0.259699677711363,7.53072782799791e-07,0.517406118903626,-7.44360157449659,-7.47496601310798,-7.7654812835254,-7.9923721320116
"Actl7a",0.0951735151083613,0.228812997895158,7.57856232436183e-07,0.502908421882684,-7.7152631271434,-7.44542900965959,-7.21235470526072,-7.25641128711389
"Ankrd9",0.254118967232697,0.644196478032285,7.86367512439767e-07,1.34107620954058,-10.0403664089038,-9.29621603401849,-8.69929019936321,-8.66990250246342
"Fgfr2",0.129514946895023,0.311548853600911,8.01903432989803e-07,0.683031830815764,-8.98625551695377,-9.11703164458697,-8.65146249442248,-8.43399981377121
"St8sia3",0.0994452065492684,0.252271284997342,8.2219383701343e-07,0.523994990738078,-8.34288834906669,-7.94035201709019,-7.81889335832861,-7.80175284594716
"Pdhb",0.123992790029229,0.304093455188629,1.05003332295794e-06,0.647750555515831,-8.68202502248699,-8.72005641798361,-8.62391090158803,-8.07230586246778
"Ccdc105",0.0781215195787446,0.186117409907197,1.10977138545465e-06,0.407313818436863,-7.71042783942599,-7.60360507450025,-7.63490984506925,-8.01091889293711
"Ranbp9",0.086681807725006,0.223314789298943,1.17104701535808e-06,0.451081359110877,-8.01232063539794,-8.13536401189511,-8.17742000629357,-7.68428265278424
"Fam227a",0.158421676310788,0.749558312285124,1.21979222988955e-06,0.82320588820995,-10.5427150666076,-9.71730932208756,-8.89410343387761,-9.05819209293821
"Lrriq1",0.128586712654029,0.515986756672505,1.23834601239992e-06,0.667813462072216,-8.37936458654742,-8.5039046874838,-9.17171814955601,-9.44711909094116
"Tmco2",0.128478539439562,0.298399399569197,1.40712491791817e-06,0.664190310292446,-8.29158288093118,-7.76531444662717,-7.62739257063873,-8.06374737210277
"Zdhhc25",0.152143797145134,0.323416044504472,1.43732553725684e-06,0.785927606744933,-8.98170316296372,-8.56346824726465,-8.19577555621879,-8.65800700430463
"Armc12",0.0999064613523014,0.225661674264575,1.45790044969729e-06,0.515820116482907,-7.85424516106372,-7.63731112473015,-7.33842504458081,-7.76753751109565
"Pde6d",0.20653670784335,0.659080878271101,1.5051930128962e-06,1.06512095084958,-8.39749951066269,-8.76232223958712,-9.46262046151227,-9.85201187392398
"Uri1",0.129870346527058,0.319478637733351,1.60897674117422e-06,0.668124494507203,-8.64766135473734,-8.2247293738459,-7.97953686023014,-7.96202470697559
"Zfp597",0.089273836578311,0.276424571812339,1.69743362565811e-06,0.458375890092998,-8.5738129914585,-8.43306582084085,-8.11760986339656,-7.97468993074785
"Dcaf12",0.143523734795116,0.299987188371071,1.83658201580172e-06,0.7347918384455,-8.56910283775563,-8.19733814272916,-7.83431099931013,-8.20275199360283
"Ywhae",0.0998032641744038,0.225730860593291,2.02198684728927e-06,0.509144907070573,-7.99626068879611,-7.9244157184219,-8.43356062549247,-8.15440055039041
"Nup214",0.182313452241619,0.46209455390465,2.17714476580255e-06,0.927515582234554,-9.86017878457093,-9.78008281190154,-9.63061056950055,-8.85256722966698
"Adam3",0.0970153517241868,0.238586801168595,2.23676683441809e-06,0.49306593365455,-7.06109073168712,-7.07950162450993,-7.18094973160448,-7.57256755816448
"Atp8b3",0.0801597312657782,0.188465243209166,2.33181127340387e-06,0.406765888773857,-6.85995540741631,-6.7514833611732,-6.76907437923146,-7.15824924994706
"Chn1",0.104907352161637,0.257873404554482,2.55501738566366e-06,0.530519628960893,-8.4638825452044,-7.9333629162435,-7.90180906237948,-8.10683132408657
"Fbxl13",0.105962586449797,0.252891425252406,2.58990929369318e-06,0.535581717278296,-8.70265611199156,-8.77747448002039,-8.75144413169797,-8.2418927627421
"Faf2",0.207905356809408,0.527730113980347,2.98700076006853e-06,1.04517057257285,-8.8306837294413,-9.40343412300172,-9.87585430201415,-9.98926853919572
"Sun5",0.112018084315117,0.232360665630069,3.08990524766628e-06,0.562402967307666,-8.53139895638848,-8.23333208467758,-7.96899598908081,-8.3142057510134
"Arrdc5",0.1259933387416,0.283360550107005,3.15250259497191e-06,0.632082229586065,-8.20069584504504,-7.91563866142598,-7.66267363464766,-7.56861361545897
"Fyb",0.106047536459105,0.352599275952225,3.15349225665784e-06,0.53201191326305,-9.08465383280585,-8.83904446068929,-8.46799212105903,-8.30703254742624
"Clip4",0.0861723657187602,0.195856735747095,3.38645548669803e-06,0.431121527225909,-7.51653572632283,-7.23502333418746,-7.08541419909692,-7.11879557130977
"Eif4g1",0.217021341479531,0.582604408729624,3.39816270722437e-06,1.08561641281263,-9.79052125348959,-9.63029466721534,-8.9576026842186,-8.54467825440271
"BC048671",0.127382630972263,0.284716898390043,3.82605903892497e-06,0.63429450334572,-8.5906479517446,-8.05036299210134,-7.95635344839888,-8.0905995540334
"Hagh",0.126044001076215,0.263023990687363,4.02669095000974e-06,0.626380854287351,-7.54935234144352,-7.76571586517005,-7.74765904541584,-8.17573319573087
"Hdac11",0.205173003795155,0.575967683009178,4.65408151884006e-06,1.01383959678945,-10.1326068188902,-9.82948005265663,-9.83432126279373,-8.81564045586718
"Adam6a",0.329111428648074,0.726339790802138,5.1063233987847e-06,1.62030783109312,-10.5557612302551,-9.77153303014801,-9.15473647747249,-8.93545339916197
"Zfand6",0.185323082718565,0.443044631006855,5.18257849435599e-06,0.911860005435766,-8.86730905916324,-8.08545015981533,-7.95544905372747,-7.93340961082775
"Epb4.1l2",0.0923782936168912,0.197396808278572,5.34340626545671e-06,0.453983478512714,-7.69408047907064,-7.47954922351106,-7.24009700055793,-7.3358785697732
"Fam229a",0.101735457451148,0.205278721167868,5.38699492613759e-06,0.499806311401579,-7.85017845156609,-7.58515655683256,-7.35037214016451,-7.5526133205948
"Dcst1",0.1521351664006,0.329305169265944,5.64045244777489e-06,0.746038096568959,-9.07365513566114,-8.56530733090821,-8.44002703697987,-8.32761703909218
"Yme1l1",0.114490299041525,0.280458167766103,5.85175739198363e-06,0.560608523848922,-8.59123437095038,-8.62344567567616,-8.65032657974533,-8.06283715182724
"Ccdc96",0.0981325083280741,0.275026224119838,5.98329949719201e-06,0.480082575521951,-7.52517710465239,-7.67502096990743,-7.90250777338744,-8.15510354542938
"Mia3",0.211560806424822,0.587636955295182,6.01164657654252e-06,1.03479824534664,-8.61660858140826,-9.01444265969461,-9.6514068267549,-9.90328171581042
"Zpbp2",0.163241937741859,0.347962851469069,6.23885401873636e-06,0.797265632766196,-7.82790145699425,-8.07880334458352,-8.38016522290015,-8.62516708976045
"BC048502",0.100784257879189,0.20649115379726,6.51041891597259e-06,0.491378454848844,-7.40536891307986,-7.54828580976002,-7.60275495259237,-7.8967473679287
"Gnpda2",0.150264122947873,0.330324654961993,6.61070384033735e-06,0.732166372030234,-8.18245192402231,-8.34025761926544,-8.68040395405906,-8.91461829605254
"Pmpca",0.125779393341969,0.339039695779598,7.99910944282445e-06,0.608110904335984,-9.25988097917611,-9.33207521836247,-8.72396431402649,-8.69852341913902
