"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Asap1",0.192007249351433,0.603658759625088,0.000182992481422506,0.800614548658169,-8.22463847372746,-8.7078084597792,-9.66458930023419,-9.02525302238563
"Zfp35",0.196592677179306,0.352047047699802,0.000187422462796238,0.818662049783535,-8.86292902701364,-8.22568506614113,-8.32498916746457,-8.0442669772301
"Cand1",0.117031507691308,0.22475409149728,0.000195165502917316,0.486266877273044,-7.76745812761501,-7.88120055773749,-8.1393298294164,-8.25372500488805
"Ciapin1",0.103786382532727,0.22956886907575,0.000200276207616756,0.430619460891711,-7.75495972116908,-8.16050835289509,-8.26823677779039,-8.18557918206079
"Dynlrb2",0.153769751408052,0.301693668553752,0.00020130569834409,0.637824636824748,-8.19272172048763,-8.25631603445802,-8.61339300234605,-8.83054635731238
"Elp5",0.116415785615596,0.234714989099311,0.000202608513609093,0.482711367086804,-8.18902187894202,-8.06748183269767,-7.75899234214667,-7.70631051185521
"Cfap53",0.15446160045366,0.307397774365383,0.000212802940281254,0.638727016711889,-7.39243326375488,-8.03116028046677,-8.04710375511638,-7.7457606633799
"Hspb9",0.101205800673142,0.439138483562364,0.000216378874817735,0.418117070315426,-6.82535075118656,-6.989919219787,-7.60381388525061,-6.57180214947157
"Dis3l",0.118375187952466,0.250699623054728,0.000229434827460739,0.487453557393025,-7.98431817223968,-7.61898925915305,-7.41748024430403,-7.49686461484666
"Atr",0.291623540466907,0.52774682390314,0.00024024599541228,1.19776873167181,-9.31559551239403,-8.3046839305018,-8.11782678072222,-8.49733179597778
"Eapp",0.152974429092221,0.268412745812783,0.000242839312357468,0.627923549699437,-8.26143578960035,-8.46931336720483,-8.41626410098872,-8.88935933929979
"Kcnmb4",0.134528925221593,0.334215008799115,0.000245121406349913,0.551918179125503,-8.3442897745143,-8.27812761229978,-8.59058885145414,-7.7923715953888
"Acin1",0.109489065384754,0.233147801240302,0.000255736030842613,0.448114976249693,-7.62306084141415,-7.63951282040272,-7.56519817941873,-8.07117581766385
"Ssna1",0.206661145237384,0.375341303581453,0.00026577287397922,0.843973281324697,-9.16854684709515,-8.64451222621802,-8.43075160398418,-8.32457356577046
"Tfg",0.166963175027405,0.340358578527402,0.000274868666557015,0.680546627701453,-8.22628731307321,-8.95175429550902,-8.84570740912548,-8.90683394077466
"Baz1a",0.491344569797849,0.892965377770824,0.000276322419790809,2.00213128183886,-10.0711424664141,-8.4610723615008,-8.06901118457529,-8.4340410231413
"Psme4",0.138030047244583,0.241895389500379,0.000292315377275809,0.560634941304966,-7.69688245981446,-8.02872821205142,-8.14321267069653,-8.25751740111943
"Eif1b",0.151422479353962,0.251825920491094,0.000346312813239713,0.609013337895107,-8.55192529955503,-8.20914931873238,-8.30606620508195,-7.94291196165992
"Dnajc2",0.180709189745999,0.307549222804839,0.000353986726278066,0.7258697574608,-8.08353472245054,-7.88538211449466,-7.35766496498973,-7.72119508199361
"Ccdc30",0.194479843522037,0.360039929837541,0.00036301537187855,0.780027946282884,-7.17274006836872,-7.10266754520259,-7.88269549148548,-7.23805794170301
"Fem1b",0.140314633001847,0.272917440967058,0.000363793745436158,0.562708885193683,-7.61974163164607,-8.11671399963967,-8.18631377044628,-8.18245051683975
"Grtp1",0.168989587728579,0.409754435182228,0.000369932435706932,0.677037165867702,-8.95953659649107,-8.41262333263802,-9.12374679433336,-8.28249943062337
"Zmynd15",0.211898614575134,0.382725363509386,0.000386260629161583,0.846781905795796,-8.51451883360096,-9.26812647497539,-9.152678016528,-9.36130073939676
"Penk",0.175735714887136,0.302117367496349,0.000400659558758232,0.700744046603274,-8.20448531279409,-8.4619774814348,-8.69730438248846,-8.90522935939736
"Dmrtc2",0.228296962315956,0.377546133843006,0.000401846714336074,0.910171076983149,-8.55655782709607,-8.41703018606608,-8.09240091857038,-9.00257199555353
"Fgfr1op",0.426325540622223,0.729537000345181,0.000409036942857988,1.69787310923858,-9.49876486577237,-8.25472116327236,-8.97404789505653,-9.95259427251094
"Rpl39l",0.105338225663923,0.173275807304525,0.000411159090783375,0.419387776420838,-7.37171306765519,-7.5428255053655,-7.52959161866082,-7.79110084407603
"Cops8",0.311465341707268,0.52598608830269,0.000416605287110627,1.23907647701466,-9.4832142965653,-9.02544238731973,-8.24413781955063,-9.16222924732135
"Iqub",0.190350361402958,0.421593452559906,0.000425371300110111,0.756311714920729,-8.44027936369056,-8.93216556149896,-9.42037411926825,-9.19659107861129
"Sae1",0.178388696103758,0.314377088178976,0.000438385725367585,0.707503874930788,-9.13342409624334,-9.02718180380569,-8.77750100715468,-8.42592022131255
"Dnajc7",0.349538971967295,0.607944863778562,0.000440864978752842,1.38582943286954,-8.8710974621936,-8.49001351962811,-8.74491151373904,-9.87584295249764
"Topors",0.444410158757492,0.738304311049324,0.0004749140689988,1.75406566304801,-10.0675907487741,-8.83719767656052,-8.93779321890364,-8.3135250857261
"Ubqln1",0.166606645386818,0.335165477642439,0.000477927905010223,0.657335984469469,-8.30684310253198,-8.52005873220578,-8.98359517164513,-8.96417908700145
"Amz2",0.114622601737311,0.224697117479458,0.000521989410680934,0.449808416636601,-7.0678087406955,-7.2969124650824,-7.3295571148777,-6.8471040484458
"Foxm1",0.239699477238159,0.662963747341248,0.000557402316215594,0.936847049776187,-8.8348012016725,-10.0740793396906,-10.3631515956807,-9.77164825144869
"Gnl2",0.237820291833776,0.394684349214574,0.000558961277895342,0.929341883797987,-9.43730776314578,-8.98936443103184,-8.76125648637348,-8.50796587934779
"Sdf2l1",0.245963356098713,0.397670918252422,0.000598231416666817,0.957119195996345,-9.49849467205294,-9.00435130465977,-8.86765322027213,-8.5413754760566
"Nop14",0.147007122745887,0.243124887883403,0.000624461667384946,0.570517773127569,-7.97668262474011,-8.40935591571524,-8.32242459187003,-8.54720039786768
"Rmnd5b",0.16599605145549,0.493842883552495,0.000635352624590357,0.64351333414265,-8.4887997989861,-8.85609371798267,-9.66096425943268,-9.13231313312875
"Fam216a",0.115683375703645,0.184503763111884,0.000638549410984623,0.448325914074638,-7.64579653266737,-7.47007196679127,-7.68722976589529,-7.91839788086591
